cod_ibge,municipio,uf,regiao,populacao,idhm,pib_per_capita,gini,perc_votos_gov,taxa_comparecimento
1001169,Município 1169,SP,Sudeste,65199,0.821,47533,0.49,43.1,0.82
1000766,Município 766,MG,Sudeste,4192,0.734,23544,0.48,47.3,0.69
1000466,Município 466,MG,Sudeste,22766,0.681,20882,0.44,40.9,0.76
1001118,Município 1118,SP,Sudeste,1000,0.622,14756,0.51,43.7,0.75
1005194,Município 5194,SE,Nordeste,30509,0.71,8685,0.5,65.3,0.81
1001434,Município 1434,SP,Sudeste,2217,0.744,113900,0.5,39.6,0.77
1004801,Município 4801,RN,Nordeste,1824,0.525,29021,0.48,64.2,0.88
1000612,Município 612,MG,Sudeste,27554,0.761,46312,0.52,41.1,0.84
1000231,Município 231,MG,Sudeste,25567,0.686,33548,0.51,61.4,0.78
1000927,Município 927,SP,Sudeste,11001,0.793,14217,0.46,41.2,0.87
1003209,Município 3209,GO,Centro-Oeste,2536,0.849,21875,0.42,45.9,0.75
1001562,Município 1562,RS,Sul,6296,0.823,11453,0.45,48.5,0.84
1003756,Município 3756,PI,Nordeste,1106,0.696,16348,0.61,48.0,0.97
1002451,Município 2451,PR,Sul,6008,0.755,9921,0.57,42.8,0.87
1001040,Município 1040,SP,Sudeste,7255,0.788,16746,0.48,36.5,0.82
1001859,Município 1859,RS,Sul,1655,0.794,12801,0.31,40.8,0.8
1005505,Município 5505,RO,Norte,85806,0.531,16045,0.45,61.1,0.93
1000440,Município 440,MG,Sudeste,106931,0.795,14385,0.48,42.9,0.88
1000904,Município 904,SP,Sudeste,4454,0.637,33965,0.5,45.6,0.75
1005126,Município 5126,RJ,Sudeste,23810,0.727,9931,0.41,34.5,0.84
1002500,Município 2500,PR,Sul,6467,0.666,12149,0.49,54.5,0.9
1001003,Município 1003,SP,Sudeste,13088,0.797,99173,0.47,45.2,0.77
1000291,Município 291,MG,Sudeste,8550,0.708,12875,0.5,44.1,0.89
1002974,Município 2974,SC,Sul,27495,0.717,16103,0.56,44.9,0.8
1000735,Município 735,MG,Sudeste,8306,0.779,35812,0.51,40.9,0.8
1003383,Município 3383,PB,Nordeste,42183,0.624,37036,0.63,56.8,0.78
1000080,Município 80,MG,Sudeste,99007,0.703,141042,0.55,48.3,0.84
1001116,Município 1116,SP,Sudeste,19194,0.671,28507,0.43,42.6,0.85
1001559,Município 1559,RS,Sul,23223,0.707,12249,0.49,46.2,0.85
1002227,Município 2227,BA,Nordeste,4765,0.548,14686,0.46,48.5,0.88
1004378,Município 4378,CE,Nordeste,3868,0.676,28894,0.4,53.9,0.78
1002023,Município 2023,BA,Nordeste,2298,0.626,18579,0.51,55.5,0.85
1005507,Município 5507,RO,Norte,17262,0.739,21111,0.46,34.5,0.87
1004160,Município 4160,PE,Nordeste,1242,0.501,7310,0.63,47.9,0.74
1000738,Município 738,MG,Sudeste,57386,0.786,32393,0.41,34.4,0.75
1005075,Município 5075,AL,Nordeste,19666,0.592,13988,0.46,54.6,0.77
1000749,Município 749,MG,Sudeste,33982,0.72,16153,0.45,46.4,0.76
1002171,Município 2171,BA,Nordeste,7919,0.671,22601,0.56,56.0,0.96
1004656,Município 4656,TO,Centro-Oeste,40486,0.748,19062,0.49,52.8,0.82
1001922,Município 1922,RS,Sul,14854,0.758,11951,0.49,47.1,0.76
1002292,Município 2292,BA,Nordeste,1000,0.649,17672,0.5,75.8,0.86
1003980,Município 3980,MA,Nordeste,1034,0.741,21735,0.41,60.6,0.82
1005200,Município 5200,SE,Nordeste,5597,0.656,25043,0.45,51.6,0.69
1003723,Município 3723,PI,Nordeste,1460,0.6,57968,0.52,61.1,0.76
1000024,Município 24,MG,Sudeste,30912,0.634,7383,0.52,47.2,0.9
1004652,Município 4652,TO,Centro-Oeste,1792,0.64,13918,0.43,45.9,0.89
1001039,Município 1039,SP,Sudeste,31604,0.676,18865,0.34,46.7,0.8
1004300,Município 4300,CE,Nordeste,1415,0.629,16887,0.44,67.8,0.8
1004059,Município 4059,PE,Nordeste,4034,0.492,6077,0.55,60.6,0.91
1003361,Município 3361,PB,Nordeste,16068,0.546,13243,0.49,66.6,0.84
1004578,Município 4578,TO,Centro-Oeste,18620,0.723,37815,0.4,57.9,0.79
1001056,Município 1056,SP,Sudeste,62659,0.625,17761,0.51,42.1,0.8
1001269,Município 1269,SP,Sudeste,5851,0.717,14085,0.46,45.2,0.6
1001427,Município 1427,SP,Sudeste,6042,0.87,24410,0.48,38.7,0.89
1002852,Município 2852,SC,Sul,6104,0.713,16816,0.38,52.1,0.69
1001398,Município 1398,SP,Sudeste,11267,0.807,72807,0.48,42.1,0.73
1003314,Município 3314,GO,Centro-Oeste,7494,0.63,43292,0.59,50.5,0.86
1002518,Município 2518,PR,Sul,35750,0.624,16709,0.49,50.5,0.93
1001739,Município 1739,RS,Sul,46585,0.642,23785,0.5,41.8,0.88
1002848,Município 2848,SC,Sul,4822,0.824,27349,0.34,35.4,0.86
1000352,Município 352,MG,Sudeste,2804,0.765,18161,0.46,39.5,0.86
1003981,Município 3981,MA,Nordeste,3134,0.734,15524,0.4,48.0,0.76
1002305,Município 2305,BA,Nordeste,174925,0.691,24916,0.41,66.2,0.8
1002656,Município 2656,PR,Sul,1908,0.727,34771,0.54,39.8,0.86
1000970,Município 970,SP,Sudeste,1000,0.768,11963,0.45,35.5,0.83
1001741,Município 1741,RS,Sul,6338,0.692,29130,0.5,43.3,0.79
1000298,Município 298,MG,Sudeste,1203,0.773,21247,0.42,42.6,0.73
1000808,Município 808,MG,Sudeste,25843,0.71,6103,0.45,52.8,0.85
1001256,Município 1256,SP,Sudeste,57825,0.763,18253,0.4,42.9,0.79
1002641,Município 2641,PR,Sul,10630,0.67,38356,0.55,39.2,0.97
1000539,Município 539,MG,Sudeste,29468,0.717,12028,0.59,40.0,0.7
1000600,Município 600,MG,Sudeste,57695,0.8,33030,0.44,33.5,0.88
1000502,Município 502,MG,Sudeste,19544,0.612,17524,0.59,54.6,0.79
1001095,Município 1095,SP,Sudeste,9598,0.77,28985,0.54,53.8,0.81
1000777,Município 777,MG,Sudeste,6365,0.654,49053,0.48,46.9,0.77
1000009,Município 9,MG,Sudeste,16011,0.597,11984,0.55,48.9,0.8
1001685,Município 1685,RS,Sul,2976,0.692,20772,0.57,48.5,0.81
1001438,Município 1438,SP,Sudeste,6652,0.803,22154,0.51,49.4,0.83
1004309,Município 4309,CE,Nordeste,24757,0.631,14177,0.54,46.4,0.75
1001075,Município 1075,SP,Sudeste,29667,0.657,5249,0.52,38.7,0.79
1002460,Município 2460,PR,Sul,41091,0.774,16112,0.48,46.4,0.77
1002514,Município 2514,PR,Sul,1000,0.706,22856,0.49,41.8,0.82
1001245,Município 1245,SP,Sudeste,190196,0.66,15846,0.53,42.2,0.8
1002224,Município 2224,BA,Nordeste,3317,0.566,12080,0.51,43.7,0.78
1004188,Município 4188,PE,Nordeste,37978,0.563,16872,0.62,70.7,0.77
1004083,Município 4083,PE,Nordeste,1000,0.473,19542,0.63,45.8,0.86
1004327,Município 4327,CE,Nordeste,126867,0.63,15251,0.46,62.7,0.76
1004113,Município 4113,PE,Nordeste,3842,0.564,11626,0.53,53.7,0.93
1005344,Município 5344,ES,Sudeste,20017,0.67,29855,0.51,29.5,0.93
1003478,Município 3478,PB,Nordeste,3076,0.549,20062,0.58,54.5,0.72
1000034,Município 34,MG,Sudeste,10737,0.64,37546,0.57,48.1,0.85
1003432,Município 3432,PB,Nordeste,1000,0.696,11235,0.39,66.8,0.85
1001546,Município 1546,RS,Sul,80322,0.819,18970,0.34,32.8,0.88
1001719,Município 1719,RS,Sul,7969,0.78,18461,0.51,42.5,0.79
1002544,Município 2544,PR,Sul,1987,0.623,39278,0.45,39.9,0.88
1005203,Município 5203,SE,Nordeste,17134,0.582,27907,0.6,47.9,0.77
1003371,Município 3371,PB,Nordeste,76691,0.583,17570,0.53,66.1,0.84
1005257,Município 5257,MS,Centro-Oeste,13400,0.616,19891,0.52,37.1,0.95
1005163,Município 5163,RJ,Sudeste,72355,0.674,27888,0.45,58.3,0.85
1004442,Município 4442,PA,Norte,8057,0.664,11464,0.46,43.1,0.9
